"","iso_code","continent","location","last_updated_date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","new_tests","total_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","new_vaccinations_smoothed_per_million","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index"
"38","CYM","North America","Cayman Islands",2021-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63774,34786,28988,424,531,97.04,52.93,44.11,8080,NA,65720,256.496,NA,NA,NA,49903.029,NA,NA,13.22,NA,NA,NA,NA,83.92,NA
"39","CAF","Africa","Central African Republic",2021-04-22,6175,0,70.429,85,0,1.429,1278.53,0,14.582,17.599,0,0.296,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.96,4829764,7.479,18.3,3.655,2.251,661.24,NA,435.727,6.1,NA,NA,16.603,1,53.28,0.397
"40","TCD","Africa","Chad",2021-04-22,4735,4,8.857,169,0,0.143,288.265,0.244,0.539,10.289,0,0.009,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.89,16425859,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,NA,NA,5.818,NA,54.24,0.398
"41","CHL","South America","Chile",2021-04-22,1148320,6917,6660.286,25532,179,109.429,60070.488,361.84,348.41,1335.62,9.364,5.724,0.99,NA,NA,NA,NA,NA,NA,NA,NA,66267,12574563,657.796,3.467,63701,3.332,0.109,9.2,"tests performed",13722557,7849346,5873211,169385,139393,71.78,41.06,30.72,7292,NA,19116209,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,NA,2.11,80.18,0.851
"42","CHN","Asia","China",2021-04-22,102332,32,28.143,4844,-1,-0.143,71.097,0.022,0.02,3.365,-0.001,0,1.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211223000,NA,NA,7032000,3955286,14.68,NA,NA,2748,78.24,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,NA,4.34,76.91,0.761
"43","COL","South America","Colombia",2021-04-22,2720619,19306,16842.857,70026,430,403.857,53468.255,379.42,331.012,1376.219,8.451,7.937,1.17,NA,NA,NA,NA,NA,NA,NA,NA,81926,14095309,277.015,1.61,74010,1.455,0.242,4.1,"tests performed",4131008,2850117,1280891,151433,96561,8.12,5.6,2.52,1898,81.48,50882884,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767
"44","COM","Africa","Comoros",2021-04-22,3824,2,2.143,146,0,0,4397.449,2.3,2.464,167.894,0,0,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,869595,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.554
"45","COG","Africa","Congo",2021-04-22,10084,0,0,139,0,0,1827.443,0,0,25.19,0,0,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14297,14297,NA,NA,NA,0.26,0.26,NA,NA,53.7,5518092,15.405,19,3.402,2.063,4881.406,37,344.094,7.2,1.7,52.3,47.964,NA,64.57,0.574
"46","CRI","North America","Costa Rica",2021-04-22,235274,1776,1105.857,3125,10,8.571,46185.46,348.638,217.085,613.453,1.963,1.683,1.32,NA,NA,NA,NA,NA,NA,NA,NA,4307,763383,149.856,0.845,4443,0.872,0.171,5.8,"people tested",698327,450593,247734,NA,15933,13.71,8.85,4.86,3128,62.04,5094114,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81
"47","CIV","Africa","Cote d'Ivoire",2021-04-22,45715,18,38.714,277,0,0.571,1733.055,0.682,1.468,10.501,0,0.022,0.58,NA,NA,NA,NA,NA,NA,NA,NA,451,577798,21.904,0.017,2218,0.084,0.02,50.2,"samples tested",109077,109077,NA,3967,3116,0.41,0.41,NA,118,25.93,26378275,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,NA,NA,19.351,NA,57.78,0.538
"48","HRV","Europe","Croatia",2021-04-22,316308,2885,2201.143,6738,46,42.286,77049.294,702.756,536.175,1641.306,11.205,10.3,1.18,NA,NA,2105,512.756,NA,NA,1636.78,398.702,10537,1734234,422.441,2.567,8662,2.11,0.257,3.9,"people tested",746878,593972,152906,20563,14721,18.19,14.47,3.72,3586,52.78,4105268,73.726,44,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,NA,5.54,78.49,0.851
"49","CUB","North America","Cuba",2021-04-22,97967,1207,1079.857,559,12,9.714,8649.274,106.563,95.338,49.353,1.059,0.858,1.06,NA,NA,NA,NA,NA,NA,NA,NA,21830,3450918,304.673,1.927,21816,1.926,0.048,20.8,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,79.63,11326616,110.408,43.1,14.738,9.719,NA,NA,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.783
"50","CUW","North America","Curacao",2021-04-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77687,62322,15365,2848,2787,47.34,37.98,9.36,16984,NA,164100,362.644,41.7,16.367,10.068,NA,NA,NA,11.62,NA,NA,NA,NA,78.88,NA
