"","iso_code","continent","location","last_updated_date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","new_tests","total_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","new_vaccinations_smoothed_per_million","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index"
"78","GIB","Europe","Gibraltar",2021-04-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67366,35912,31454,1278,164,199.95,106.59,93.36,4868,NA,33691,3457.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.93,NA
"79","GRC","Europe","Greece",2021-04-22,326395,2756,2627,9788,75,78.429,31314.712,264.414,252.037,939.072,7.196,7.525,1,NA,NA,NA,NA,381.193,36.572,NA,NA,63048,7692455,738.023,6.049,44714,4.29,0.051,19.5,"samples tested",2708780,1924630,784150,56332,45947,25.99,18.47,7.52,4408,87.96,10423056,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52,NA,4.21,82.24,0.888
"80","GRL","North America","Greenland",2021-04-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12434,8136,4298,201,315,21.9,14.33,7.57,5549,37.04,56772,0.137,NA,NA,NA,NA,NA,199.941,2.16,NA,NA,NA,NA,71.7,NA
"81","GRD","North America","Grenada",2021-04-22,159,2,0.571,1,0,0,1413.095,17.775,5.079,8.887,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112519,317.132,29.4,7.304,5.021,13593.877,NA,243.964,10.71,NA,NA,NA,3.7,72.4,0.779
"82","GTM","North America","Guatemala",2021-04-22,218145,1816,1350.143,7345,36,32.143,12176.282,101.364,75.361,409.979,2.009,1.794,1.24,NA,NA,NA,NA,NA,NA,NA,NA,2006,1166672,65.121,0.112,8303,0.463,0.166,6,"people tested",162110,160282,1828,1740,1602,0.9,0.89,0.01,89,NA,17915567,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,NA,NA,76.665,0.6,74.3,0.663
"83","GGY","Europe","Guernsey",2021-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46587,32969,13618,NA,758,69.48,49.17,20.31,11305,NA,67052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","GIN","Africa","Guinea",2021-04-22,21745,79,63.714,139,0,0.429,1655.779,6.015,4.852,10.584,0,0.033,1.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116113,83324,32789,1816,1868,0.88,0.63,0.25,142,61.11,13132792,51.755,19,3.135,1.733,1998.926,35.3,336.717,2.42,NA,NA,17.45,0.3,61.6,0.477
"85","GNB","Africa","Guinea-Bissau",2021-04-22,3721,8,2.143,66,0,0,1890.754,4.065,1.089,33.537,0,0,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1967998,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,NA,NA,6.403,NA,58.32,0.48
"86","GUY","South America","Guyana",2021-04-22,12234,102,101,277,3,2,15553.824,129.679,128.407,352.167,3.814,2.543,1.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73600,73000,600,NA,2974,9.36,9.28,0.08,3781,NA,786559,3.952,26.3,5.305,2.837,7435.047,NA,373.159,11.62,NA,NA,77.159,1.6,69.91,0.682
"87","HTI","North America","Haiti",2021-04-22,12944,26,12.429,251,0,-0.143,1135.186,2.28,1.09,22.013,0,-0.013,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.41,11402533,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64,0.51
"88","HND","North America","Honduras",2021-04-22,204828,2415,836.143,5047,71,16.857,20680.071,243.826,84.42,509.561,7.168,1.702,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57639,55000,2639,NA,802,0.58,0.56,0.03,81,82.41,9904608,82.805,24.9,4.652,2.883,4541.795,16,240.208,7.21,2,NA,84.169,0.7,75.27,0.634
"89","HKG","Asia","Hong Kong",2021-04-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1196682,789314,407368,23499,30798,15.96,10.53,5.43,4108,74.07,7496988,7039.714,44.8,16.303,10.158,56054.92,NA,NA,8.33,NA,NA,NA,NA,84.86,0.949
"90","HUN","Europe","Hungary",2021-04-22,760967,3607,3426.429,26001,214,211.429,78772.198,373.382,354.69,2691.517,22.152,21.886,0.73,NA,NA,8445,874.192,NA,NA,NA,NA,26406,4755087,492.227,2.733,24598,2.546,0.153,6.5,"tests performed",4999342,3508846,1490478,126592,72685,51.75,36.32,15.43,7524,70.37,9660350,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,NA,7.02,76.88,0.854
"91","ISL","Europe","Iceland",2021-04-22,6379,17,14.286,29,0,0,18693.04,49.817,41.863,84.982,0,0,0.97,NA,NA,3,8.791,0.937,2.746,0.937,2.746,4176,335032,981.779,12.237,1786,5.234,0.006,164.5,"tests performed",113330,80721,32609,6642,2325,33.21,23.65,9.56,6813,47.22,341250,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,NA,2.91,82.99,0.949
"92","IND","Asia","India",2021-04-22,16263695,332921,281682.571,186920,2263,1801.714,11785.249,241.246,204.117,135.449,1.64,1.306,1.5,NA,NA,NA,NA,NA,NA,NA,NA,1651711,272705103,197.612,1.197,1528813,1.108,0.178,5.6,"samples tested",132754608,113584269,19170339,3108503,2218728,9.62,8.23,1.39,1608,69.91,1380004385,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645
"93","IDN","Asia","Indonesia",2021-04-22,1626812,6243,5350.429,44172,165,157,5947.611,22.824,19.561,161.492,0.603,0.574,1.02,NA,NA,NA,NA,NA,NA,NA,NA,55681,9468108,34.615,0.204,45628,0.167,0.122,8.2,"people tested",17920908,11432711,6488197,276683,203169,6.55,4.18,2.37,743,68.98,273523621,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718
"94","OWID_INT",NA,"International",2021-04-22,721,0,0,15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","IRN","Asia","Iran",2021-04-22,2335905,24092,23861.857,68366,453,383.714,27810.726,286.834,284.094,813.949,5.393,4.568,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,14854140,176.85,NA,111642,1.329,0.218,4.6,"tests performed",667202,518904,148298,71691,26723,0.79,0.62,0.18,318,81.48,83992953,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,NA,1.5,76.68,0.783
"96","IRQ","Asia","Iraq",2021-04-22,1010304,8450,7634.857,15128,30,34.714,25117.88,210.081,189.816,376.108,0.746,0.863,1.06,NA,NA,NA,NA,NA,NA,NA,NA,50382,8989021,223.482,1.253,42642,1.06,0.179,5.6,"samples tested",197914,197914,NA,NA,9480,0.49,0.49,NA,236,73.15,40222503,88.125,20,3.186,1.957,15663.986,2.5,218.612,8.83,NA,NA,94.576,1.4,70.6,0.674
"97","IRL","Europe","Ireland",2021-04-22,245310,615,415.429,4866,10,6.571,49680.06,124.549,84.132,985.46,2.025,1.331,0.94,47,9.518,181,36.656,17.903,3.626,98.469,19.942,18095,4351054,881.173,3.665,15600,3.159,0.024,40.9,"tests performed",1240965,878823,362142,4396,20857,25.13,17.8,7.33,4224,80.56,4937796,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,NA,2.96,82.3,0.955
"98","IMN","Europe","Isle of Man",2021-04-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67915,52407,15508,833,606,79.87,61.63,18.24,7127,NA,85032,147.872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.4,NA
"99","ISR","Asia","Israel",2021-04-22,837807,315,129.286,6346,0,4.429,96794.296,36.393,14.937,733.172,0,0.512,0.61,103,11.9,264,30.501,65,7.51,133,15.366,35027,15880436,1834.713,4.047,38529,4.451,0.004,276,"tests performed",10379693,5374276,5005417,11431,10986,119.92,62.09,57.83,1269,49.07,8655541,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,NA,2.99,82.97,0.919
"100","ITA","Europe","Italy",2021-04-22,3920945,16046,13541.286,118357,360,345.714,64849.925,265.391,223.964,1957.549,5.954,5.718,0.91,3311,54.762,26959,445.885,NA,NA,4389.557,72.6,364804,56250055,930.34,6.034,292166,4.832,0.048,20.9,"tests performed",16684215,11773361,4911141,367395,331769,27.59,19.47,8.12,5487,78.7,60461828,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,NA,3.18,83.51,0.892
"101","JAM","North America","Jamaica",2021-04-22,44502,165,180.286,751,7,7.714,15028.565,55.721,60.883,253.617,2.364,2.605,0.78,NA,NA,NA,NA,NA,NA,NA,NA,1341,320168,108.122,0.453,1419,0.479,0.129,7.7,"samples tested",135473,135473,NA,NA,13076,4.57,4.57,NA,4416,74.07,2961161,266.879,31.4,9.684,6.39,8193.571,NA,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734
"102","JPN","Asia","Japan",2021-04-22,553362,5526,4509.429,9778,41,38.857,4375.217,43.692,35.654,77.311,0.324,0.307,1.29,NA,NA,NA,NA,NA,NA,NA,NA,96428,10550284,83.417,0.762,70778,0.56,0.062,16.2,"people tested",2517045,1667994,849051,162662,94759,1.99,1.32,0.67,749,45.37,126476458,347.778,48.2,27.049,18.493,39002.223,NA,79.37,5.72,11.2,33.7,NA,13.05,84.63,0.919
"103","JEY","Europe","Jersey",2021-04-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77185,49413,27772,NA,904,76.37,48.89,27.48,8944,NA,101073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","JOR","Asia","Jordan",2021-04-22,697487,2097,2621.286,8474,45,59.571,68360.034,205.525,256.91,830.529,4.41,5.839,0.71,NA,NA,NA,NA,NA,NA,NA,NA,24628,6546769,641.643,2.414,20316,1.991,0.135,7.4,"tests performed",732052,607381,124671,NA,15289,7.17,5.95,1.22,1498,70.37,10203140,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,NA,NA,NA,1.4,74.53,0.729
"105","KAZ","Asia","Kazakhstan",2021-04-22,352988,3001,2848.857,3304,3,3.143,18799.25,159.826,151.723,175.963,0.16,0.167,1.18,NA,NA,NA,NA,NA,NA,NA,NA,46635,9624583,512.581,2.484,52248,2.783,0.052,19.3,"tests performed",956101,823498,132603,62937,43666,5.09,4.39,0.71,2326,62.96,18776707,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7,43.1,98.999,6.7,73.6,0.825
"106","KEN","Africa","Kenya",2021-04-22,154392,904,739,2560,20,19.429,2871.271,16.812,13.743,47.609,0.372,0.361,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,1605847,29.864,NA,5756,0.107,0.132,7.6,"samples tested",750471,750471,NA,NA,25890,1.4,1.4,NA,481,62.96,53771300,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.601
"107","OWID_KOS","Europe","Kosovo",2021-04-22,102720,888,501.429,2115,10,12.143,53146.41,459.443,259.435,1094.282,5.174,6.283,1.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16132,16132,NA,NA,1127,0.83,0.83,NA,583,61.11,1932774,168.155,NA,NA,NA,9795.834,0.6,NA,NA,NA,NA,NA,NA,NA,NA
"108","KWT","Asia","Kuwait",2021-04-22,262766,1459,1385.714,1493,11,9.286,61529.592,341.641,324.48,349.603,2.576,2.174,0.99,NA,NA,NA,NA,NA,NA,NA,NA,9995,2256129,528.298,2.34,8620,2.018,0.163,6.1,"tests performed",NA,822000,NA,NA,NA,NA,19.25,NA,NA,NA,4270563,232.128,33.7,2.345,1.114,65530.537,NA,132.235,15.84,2.7,37,NA,2,75.49,0.806
"109","KGZ","Asia","Kyrgyzstan",2021-04-22,93006,380,266,1566,5,3.714,14255.561,58.245,40.771,240.03,0.766,0.569,1.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2100,2100,NA,NA,203,0.03,0.03,NA,31,58.33,6524191,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,0.697
"110","LAO","Asia","Laos",2021-04-22,94,6,5.857,NA,NA,0,12.92,0.825,0.805,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137026,106105,30921,NA,1139,1.88,1.46,0.42,157,16.67,7275556,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613
"111","LVA","Europe","Latvia",2021-04-22,113561,578,547.143,2088,9,8.286,60206.171,306.436,290.076,1106.986,4.771,4.393,1.08,NA,NA,578,306.436,128.537,68.146,NA,NA,17164,2133594,1131.159,9.1,13431,7.121,0.041,24.2,"tests performed",240822,205384,35438,8122,6051,12.77,10.89,1.88,3208,56.48,1886202,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,NA,5.57,75.29,0.866
"112","LBN","Asia","Lebanon",2021-04-22,516600,1512,1685.714,7057,30,35.429,75687.406,221.524,246.975,1033.926,4.395,5.191,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,372427,229197,143230,6597,7401,5.46,3.36,2.1,1084,81.48,6825442,594.561,31.1,8.514,5.43,13367.565,NA,266.591,12.71,26.9,40.7,NA,2.9,78.93,0.744
"113","LSO","Africa","Lesotho",2021-04-22,10723,3,2,316,0,0.143,5005.48,1.4,0.934,147.508,0,0.067,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16000,16000,NA,NA,410,0.75,0.75,NA,191,60.19,2142252,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,NA,54.33,0.527
"114","LBR","Africa","Liberia",2021-04-22,2091,0,7,85,0,0,413.431,0,1.384,16.806,0,0,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.74,5057677,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48
"115","LBY","Africa","Libya",2021-04-22,174216,533,522.571,2936,12,9,25354.202,77.569,76.051,427.285,1.746,1.31,0.9,NA,NA,NA,NA,NA,NA,NA,NA,2786,NA,NA,0.405,NA,NA,NA,NA,"samples tested",750,750,NA,NA,NA,0.01,0.01,NA,NA,79.63,6871287,3.623,29,4.424,2.816,17881.509,NA,341.862,10.43,NA,NA,NA,3.7,72.91,0.724
"116","LIE","Europe","Liechtenstein",2021-04-22,2851,2,10.143,57,1,0.143,74756.798,52.443,265.958,1494.612,26.221,3.746,1.32,NA,NA,NA,NA,NA,NA,NA,NA,210,38302,1004.327,5.506,223,5.847,0.051,19.6,"tests performed",8860,5876,2984,0,207,23.23,15.41,7.82,5428,NA,38137,237.012,NA,NA,NA,NA,NA,NA,7.77,NA,NA,NA,2.397,82.49,0.919
"117","LTU","Europe","Lithuania",2021-04-22,237950,1417,1069.714,3818,16,12.571,87407.996,520.517,392.946,1402.495,5.877,4.618,1.11,NA,NA,1048,384.97,70.15,25.769,325.417,119.538,19133,2669896,980.753,7.028,17352,6.374,0.062,16.1,"tests performed",847735,610150,237585,24661,13516,31.14,22.41,8.73,4965,61.11,2722291,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38,NA,6.56,75.93,0.882
"118","LUX","Europe","Luxembourg",2021-04-22,65813,209,180.571,790,2,0.714,105136.619,333.879,288.464,1262.029,3.195,1.141,0.97,37,59.108,116,185.311,NA,NA,NA,NA,8922,2598881,4151.726,14.253,8481,13.548,0.021,46.7,"tests performed",170038,123137,46901,3314,3218,27.16,19.67,7.49,5141,53.7,625976,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,NA,4.51,82.25,0.916
"119","MAC","Asia","Macao",2021-04-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88292,56931,31361,1639,1886,13.6,8.77,4.83,2904,23.15,649342,20546.766,39.2,9.798,4.991,104861.851,NA,NA,NA,NA,NA,NA,NA,84.24,NA
"120","MDG","Africa","Madagascar",2021-04-22,34069,477,551.714,579,10,7.429,1230.327,17.226,19.924,20.909,0.361,0.268,1.3,NA,NA,NA,NA,NA,NA,NA,NA,1264,172412,6.226,0.046,1578,0.057,0.384,2.6,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,62.04,27691019,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,NA,NA,50.54,0.2,67.04,0.528
"121","MWI","Africa","Malawi",2021-04-22,33989,14,12.429,1145,3,1.571,1776.742,0.732,0.65,59.854,0.157,0.082,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,225576,11.792,NA,511,0.027,0.039,25.6,"samples tested",267293,267293,NA,3362,3034,1.4,1.4,NA,159,50.93,19129955,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483
"122","MYS","Asia","Malaysia",2021-04-22,384688,2875,2387.286,1407,7,6.286,11885.56,88.828,73.759,43.472,0.216,0.194,1.23,NA,NA,NA,NA,NA,NA,NA,NA,66579,8849606,273.423,2.057,63091,1.949,0.037,27.4,"people tested",1210779,748444,462335,33131,22949,3.74,2.31,1.43,709,NA,32365998,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,NA,1.9,76.16,0.81
"123","MDV","Asia","Maldives",2021-04-22,27084,164,163.571,71,0,0.571,50105.265,303.399,302.606,131.35,0,1.057,1.07,NA,NA,NA,NA,NA,NA,NA,NA,3000,710527,1314.471,5.55,2863,5.297,0.055,18.3,"samples tested",349757,287171,62586,7378,6572,64.7,53.13,11.58,12158,NA,540542,1454.433,30.6,4.12,2.875,15183.616,NA,164.905,9.19,2.1,55,95.803,NA,78.92,0.74
"124","MLI","Africa","Mali",2021-04-22,13420,84,102,456,5,5,662.689,4.148,5.037,22.518,0.247,0.247,1.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26226,26226,NA,NA,2558,0.13,0.13,NA,126,48.15,20250834,15.196,16.4,2.519,1.486,2014.306,NA,268.024,2.42,1.6,23,52.232,0.1,59.31,0.434
"125","MLT","Europe","Malta",2021-04-22,30096,33,37.571,411,0,1.143,68161.589,74.739,85.092,930.835,0,2.588,0.75,NA,NA,NA,NA,6.007,13.604,25.743,58.302,2129,853286,1932.527,4.822,1852,4.194,0.023,44.3,"tests performed",295587,201860,93727,6790,5188,66.94,45.72,21.23,11750,71.3,441539,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,NA,4.485,82.53,0.895
"126","MHL","Oceania","Marshall Islands",2021-04-22,4,0,0,NA,NA,0,67.574,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59194,295.15,NA,NA,NA,3819.202,NA,557.793,30.53,NA,NA,82.502,2.7,73.7,0.704
"127","MRT","Africa","Mauritania",2021-04-22,18192,17,17.143,454,0,0.286,3912.544,3.656,3.687,97.642,0,0.061,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.33,4649660,4.289,20.3,3.138,1.792,3597.633,6,232.347,2.42,NA,NA,15.95,NA,64.92,0.546
"128","MUS","Africa","Mauritius",2021-04-22,1205,1,0.429,16,1,0.143,947.501,0.786,0.337,12.581,0.786,0.112,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.3,1271767,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,NA,3.4,74.99,0.804
"129","MEX","North America","Mexico",2021-04-22,2319596,3785,3451.571,214079,482,409.429,17990.743,29.356,26.77,1660.393,3.738,3.176,0.96,NA,NA,NA,NA,NA,NA,NA,NA,8898,6050643,46.929,0.069,12777,0.099,0.185,5.4,"people tested",15477517,11622868,4978670,473907,366365,12,9.01,3.86,2842,44.44,128932753,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779
"130","FSM","Oceania","Micronesia (country)",2021-04-22,1,0,0,NA,NA,0,8.694,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115021,150.777,23,4.81,2.392,3299.464,16,454.343,12.02,NA,NA,NA,NA,67.88,0.62
"131","MDA","Europe","Moldova",2021-04-22,248009,618,547.429,5668,25,25,61480.237,153.199,135.705,1405.07,6.197,6.197,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109899,98541,11358,3267,3412,2.72,2.44,0.28,846,62.04,4033963,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75
"132","MCO","Europe","Monaco",2021-04-22,2423,1,5.143,31,0,0,61741.922,25.482,131.048,789.93,0,0,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22953,12094,10859,NA,174,58.49,30.82,27.67,4434,54.63,39244,19347.5,NA,NA,NA,NA,NA,NA,5.46,NA,NA,NA,13.8,86.75,NA
"133","MNG","Asia","Mongolia",2021-04-22,26692,1328,1161,61,5,4.286,8142.045,405.089,354.148,18.607,1.525,1.307,1.49,NA,NA,NA,NA,NA,NA,NA,NA,15442,2592363,790.766,4.71,12459,3.8,0.078,12.8,"samples tested",649236,NA,NA,1428,2674,19.8,NA,NA,816,87.96,3278292,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7,69.87,0.737
"134","MNE","Europe","Montenegro",2021-04-22,96187,139,163.571,1451,7,5.571,153148.893,221.316,260.438,2310.281,11.145,8.871,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58150,39123,19027,688,1265,9.26,6.23,3.03,2014,NA,628062,46.28,39.1,14.762,9.395,16409.288,1,387.305,10.08,44,47.9,NA,3.861,76.88,0.829
"135","MSR","North America","Montserrat",2021-04-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1751,1284,467,NA,15,35.03,25.69,9.34,3001,NA,4999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.16,NA
"136","MAR","Africa","Morocco",2021-04-22,507938,600,525.429,8976,7,7,13761.32,16.256,14.235,243.182,0.19,0.19,1.03,NA,NA,NA,NA,NA,NA,NA,NA,8762,5687764,154.096,0.237,7798,0.211,0.066,15.1,"people tested",8914956,4707658,4207298,13304,26644,24.15,12.75,11.4,722,76.85,36910558,80.08,29.6,6.769,4.209,7485.013,1,419.146,7.14,0.8,47.1,NA,1.1,76.68,0.686
"137","MOZ","Africa","Mozambique",2021-04-22,69523,86,74.429,805,0,1.571,2224.349,2.752,2.381,25.756,0,0.05,0.75,NA,NA,NA,NA,NA,NA,NA,NA,1597,507194,16.227,0.051,1098,0.035,0.066,15.1,"units unclear",NA,NA,NA,NA,NA,NA,NA,NA,NA,55.56,31255435,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456
"138","MMR","Asia","Myanmar",2021-04-22,142674,13,9.143,3206,0,0,2622.212,0.239,0.168,58.923,0,0,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.93,54409794,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583
"139","NAM","Africa","Namibia",2021-04-22,47172,218,141,616,7,2.857,18564.958,85.796,55.492,242.432,2.755,1.124,0.94,NA,NA,NA,NA,NA,NA,NA,NA,1375,376317,148.103,0.541,1234,0.486,0.113,8.9,"samples tested",4748,4620,128,128,268,0.19,0.18,0.01,105,42.59,2540916,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,NA,63.71,0.646
"140","NRU","Oceania","Nauru",2021-04-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168,168,NA,168,168,1.55,1.55,NA,15507,NA,10834,682.45,NA,NA,NA,12895.635,NA,NA,24.07,43,36.9,NA,5,59.96,NA
