,date,Unnamed: 0,word_count,vader_sentiment,positive,negative,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
47,2020-07-09,1170.0,1325.0,0.13085,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5
48,2020-07-14,1867.0,1067.0,-0.0516,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
49,2020-07-15,2024.6666666666667,691.3333333333334,0.1316,2.6666666666666665,1.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,1.0
50,2020-07-16,2192.3333333333335,1651.3333333333333,-0.10976666666666668,2.6666666666666665,2.0,1.0,1.0,0.0,1.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.6666666666666666
51,2020-07-17,2405.0,2884.0,-0.714,5.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0
52,2020-07-18,2486.0,1553.0,-0.0138,6.0,3.0,1.0,5.0,0.0,4.0,1.0,2.0,4.0,2.0
53,2020-07-20,2691.0,736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,2020-07-21,2841.5,815.0,0.3426,1.25,0.25,0.5,1.0,0.0,0.75,0.25,0.0,0.0,0.5
55,2020-07-22,3004.0,1156.0,0.32985,1.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5
56,2020-07-23,3239.0,1115.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,2020-07-25,3505.0,1934.0,0.0258,4.0,4.0,2.0,2.0,0.0,4.0,1.0,1.0,1.0,2.0
58,2020-07-27,3712.0,503.0,0.0,3.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.5
59,2020-07-28,3898.0,686.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,2020-07-29,4056.0,844.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
61,2020-07-30,4126.0,893.0,0.6808,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
62,2020-07-31,4357.0,712.0,0.7096,4.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0
63,2020-08-01,24.0,1825.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
64,2020-08-02,111.0,1629.0,0.0772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,2020-08-03,153.0,1807.0,0.8471500000000001,5.5,1.5,0.5,1.5,0.0,1.0,1.5,1.5,1.0,4.0
66,2020-08-04,417.0,1164.5,0.30195,1.5,0.5,0.0,1.0,0.0,0.5,0.5,0.0,0.5,0.5
67,2020-08-05,480.0,1139.0,0.2023,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
68,2020-08-06,683.5,513.5,0.21075,3.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,1.0
69,2020-08-07,933.3333333333334,790.6666666666666,0.1386,1.0,1.3333333333333333,1.0,1.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,1.0
70,2020-08-09,1072.0,1585.0,0.6361,5.0,3.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0
71,2020-08-11,1339.0,1231.0,-0.037533333333333335,2.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666
72,2020-08-15,2004.0,1347.0,-0.8779,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0
73,2020-08-19,2558.0,0.0,0.5106,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0
74,2020-08-20,2778.5,1393.5,0.0386,1.5,2.0,1.0,1.0,0.5,1.5,0.5,0.5,0.5,0.0
75,2020-08-23,3194.5,2614.0,0.0,1.5,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5
76,2020-08-24,3265.0,1681.0,0.2263,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0
77,2020-08-26,3600.0,877.0,0.4228,10.0,4.0,2.0,3.0,1.0,4.0,3.0,1.0,2.0,3.0
78,2020-08-27,3820.0,1650.0,-0.5859,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
